Iteration,Element No.,Algorithm,Time
21,30000,Bubblesort,2.282000
21,30000,Shakersort,1.924000
21,30000,Insertionsort,0.511000
21,30000,Selectionsort,1.012000
22,30000,Recursive Quicksort,0.004000
22,30000,Library qsort,0.017000
22,30000,Heapsort,0.016000
22,30000,Bubblesort,2.272000
22,30000,Shakersort,1.948000
22,30000,Insertionsort,0.518000
22,30000,Selectionsort,1.023000
23,30000,Recursive Quicksort,0.004000
23,30000,Library qsort,0.017000
23,30000,Heapsort,0.017000
23,30000,Bubblesort,2.313000
23,30000,Shakersort,1.932000
23,30000,Insertionsort,0.503000
23,30000,Selectionsort,1.012000
24,30000,Recursive Quicksort,0.004000
24,30000,Library qsort,0.016000
24,30000,Heapsort,0.016000
24,30000,Bubblesort,2.281000
24,30000,Shakersort,1.923000
24,30000,Insertionsort,0.511000
24,30000,Selectionsort,1.008000
25,30000,Recursive Quicksort,0.004000
25,30000,Library qsort,0.016000
25,30000,Heapsort,0.016000
25,30000,Bubblesort,2.271000
25,30000,Shakersort,1.921000
25,30000,Insertionsort,0.506000
25,30000,Selectionsort,1.009000
1,40000,Recursive Quicksort,0.005000
1,40000,Library qsort,0.022000
1,40000,Heapsort,0.023000
1,40000,Bubblesort,4.022000
1,40000,Shakersort,3.427000
1,40000,Insertionsort,0.902000
1,40000,Selectionsort,1.787000
2,40000,Recursive Quicksort,0.005000
2,40000,Library qsort,0.023000
2,40000,Heapsort,0.022000
2,40000,Bubblesort,4.005000
2,40000,Shakersort,3.437000
2,40000,Insertionsort,0.902000
2,40000,Selectionsort,1.800000
3,40000,Recursive Quicksort,0.006000
3,40000,Library qsort,0.022000
3,40000,Heapsort,0.023000
3,40000,Bubblesort,4.029000
3,40000,Shakersort,3.431000
3,40000,Insertionsort,0.903000
3,40000,Selectionsort,1.793000
4,40000,Recursive Quicksort,0.005000
4,40000,Library qsort,0.023000
4,40000,Heapsort,0.023000
4,40000,Bubblesort,4.031000
4,40000,Shakersort,3.449000
4,40000,Insertionsort,0.912000
4,40000,Selectionsort,1.801000
5,40000,Recursive Quicksort,0.006000
5,40000,Library qsort,0.022000
5,40000,Heapsort,0.021000
5,40000,Bubblesort,3.997000
5,40000,Shakersort,3.438000
5,40000,Insertionsort,0.900000
5,40000,Selectionsort,1.790000
6,40000,Recursive Quicksort,0.006000
6,40000,Library qsort,0.023000
6,40000,Heapsort,0.022000
6,40000,Bubblesort,4.010000
6,40000,Shakersort,3.434000
6,40000,Insertionsort,0.904000
6,40000,Selectionsort,1.784000
7,40000,Recursive Quicksort,0.006000
7,40000,Library qsort,0.022000
7,40000,Heapsort,0.022000
7,40000,Bubblesort,3.989000
