Iteration,Element No.,Algorithm,Time
8,40000,Heapsort,0.022000
8,40000,Bubblesort,5.287000
8,40000,Shakersort,4.613000
8,40000,Insertionsort,1.280000
8,40000,Selectionsort,2.232000
9,40000,Recursive Quicksort,0.007000
9,40000,Library qsort,0.027000
9,40000,Heapsort,0.024000
9,40000,Bubblesort,5.442000
9,40000,Shakersort,4.653000
9,40000,Insertionsort,1.303000
9,40000,Selectionsort,2.234000
10,40000,Recursive Quicksort,0.008000
10,40000,Library qsort,0.025000
10,40000,Heapsort,0.023000
10,40000,Bubblesort,5.400000
10,40000,Shakersort,4.705000
10,40000,Insertionsort,1.206000
10,40000,Selectionsort,2.132000
11,40000,Recursive Quicksort,0.009000
11,40000,Library qsort,0.032000
11,40000,Heapsort,0.021000
11,40000,Bubblesort,5.388000
11,40000,Shakersort,4.669000
11,40000,Insertionsort,1.281000
11,40000,Selectionsort,2.230000
12,40000,Recursive Quicksort,0.008000
12,40000,Library qsort,0.024000
12,40000,Heapsort,0.025000
12,40000,Bubblesort,5.481000
12,40000,Shakersort,4.754000
12,40000,Insertionsort,1.344000
12,40000,Selectionsort,2.233000
13,40000,Recursive Quicksort,0.009000
13,40000,Library qsort,0.024000
13,40000,Heapsort,0.027000
13,40000,Bubblesort,5.513000
13,40000,Shakersort,4.940000
13,40000,Insertionsort,1.303000
13,40000,Selectionsort,2.273000
14,40000,Recursive Quicksort,0.007000
14,40000,Library qsort,0.032000
14,40000,Heapsort,0.022000
14,40000,Bubblesort,5.340000
14,40000,Shakersort,4.847000
14,40000,Insertionsort,1.306000
14,40000,Selectionsort,2.248000
15,40000,Recursive Quicksort,0.007000
15,40000,Library qsort,0.025000
15,40000,Heapsort,0.024000
15,40000,Bubblesort,5.406000
15,40000,Shakersort,4.786000
15,40000,Insertionsort,1.312000
15,40000,Selectionsort,2.192000
16,40000,Recursive Quicksort,0.007000
16,40000,Library qsort,0.024000
16,40000,Heapsort,0.021000
16,40000,Bubblesort,5.448000
16,40000,Shakersort,4.761000
16,40000,Insertionsort,1.312000
16,40000,Selectionsort,2.324000
17,40000,Recursive Quicksort,0.008000
17,40000,Library qsort,0.026000
17,40000,Heapsort,0.027000
17,40000,Bubblesort,5.600000
17,40000,Shakersort,4.957000
17,40000,Insertionsort,1.331000
17,40000,Selectionsort,2.396000
18,40000,Recursive Quicksort,0.009000
18,40000,Library qsort,0.027000
18,40000,Heapsort,0.025000
18,40000,Bubblesort,5.693000
18,40000,Shakersort,4.909000
18,40000,Insertionsort,1.345000
18,40000,Selectionsort,2.330000
19,40000,Recursive Quicksort,0.008000
19,40000,Library qsort,0.022000
19,40000,Heapsort,0.022000
19,40000,Bubblesort,5.557000
19,40000,Shakersort,4.813000
19,40000,Insertionsort,1.319000
19,40000,Selectionsort,2.351000
20,40000,Recursive Quicksort,0.008000
20,40000,Library qsort,0.024000
20,40000,Heapsort,0.023000
20,40000,Bubblesort,5.606000
20,40000,Shakersort,4.672000
20,40000,Insertionsort,1.320000
20,40000,Selectionsort,2.369000
21,40000,Recursive Quicksort,0.009000
21,40000,Library qsort,0.023000
21,40000,Heapsort,0.026000
21,40000,Bubblesort,5.655000
